Td    ID    Tj    Df    Dd    Db

4     2004  1     0     3     3
6     2010  2     0     4     4
6     2003  1     0     5     5
7     2012  3     0     4     4
11    2016  4     0     7     7
13    2022  5     0     8     8
14    2027  6     0     8     8
19    2068  14    0     5     5
19    2047  10    0     9     9
21    2040  8     0     13    13
23    2046  10    0     13    13
24    2041  9     0     15    15
25    2057  12    3     10    13
25    2017  4     0     21    21
26    2043  9     3     14    17
29    2050  10    1     18    19
30    2029  6     0     24    24
36    101   21    0     15    15
37    2048  10    3     24    27
39    2038  8     1     30    31
43    2077  16    1     26    27
44    2086  18    0     26    26
44    2059  12    0     32    32
45    2085  17    3     25    28
47    2024  5     0     42    42
47    2039  8     0     39    39
48    2097  20    1     27    28
52    2102  21    4     27    31
52    2081  17    1     34    35
53    2090  18    3     32    35
56    2105  21    3     32    35
57    2095  19    3     35    38
58    2116  24    5     29    34
58    2162  33    2     23    25
60    2089  18    2     40    42
63    2132  27    3     33    36
63    247   50    0     13    13
67    2111  23    0     44    44
68    2169  34    2     32    34
68    2154  31    0     37    37
69    2062  13    0     56    56
70    2140  28    1     41    42
73    356   72    0     1     1
76    2091  19    4     53    57
77    2079  16    2     59    61
77    2182  37    3     37    40
77    2222  45    1     31    32
79    2106  22    4     53    57
80    2123  25    2     53    55
81    2109  22    27    32    59
81    338   68    0     13    13
82    2092  19    19    44    63
83    2064  13    0     70    70
84    2148  30    6     48    54
84    2174  35    15    34    49
85    2107  22    11    52    63
87    2119  24    2     61    63
89    2114  23    5     61    66
91    2164  33    5     53    58
97    2262  53    2     42    44
98    2133  27    2     69    71
99    2204  41    3     55    58
103   2124  25    4     74    78
105   2243  49    5     51    56
106   2071  15    6     85    91
106   2181  37    4     65    69
106   2136  28    3     75    78
108   2219  44    0     64    64
108   2229  46    0     62    62
109   2214  43    0     66    66
111   2288  58    0     53    53
112   2074  15    0     97    97
116   2076  16    3     97    100
116   2125  25    0     91    91
118   2061  13    2     103   105
118   2044  9     0     109   109
121   2296  60    0     61    61
124   2215  43    0     81    81
125   2160  32    2     91    93
126   2419  84    1     41    42
126   2195  39    2     85    87
127   2179  36    21    70    91
129   2269  54    0     75    75
130   2236  48    1     81    82
134   2194  39    3     92    95
138   621   125   0     13    13
138   622   125   0     13    13
139   2321  65    21    53    74
140   635   127   0     13    13
144   2362  73    5     66    71
146   2183  37    12    97    109
147   2318  64    0     83    83
149   2331  67    0     82    82
150   2134  27    1     122   123
153   2187  38    6     109   115
153   2159  32    1     120   121
157   2294  59    5     93    98
161   2370  74    5     82    87
164   2166  34    1     129   130
166   770   154   0     12    12
168   2602  121   11    36    47
168   2435  87    2     79    81
169   2130  26    2     141   143
170   2464  93    0     77    77
172   2185  37    20    115   135
174   2257  52    6     116   122
175   2554  111   0     64    64
176   2497  100   3     73    76
178   826   166   0     12    12
179   2232  47    17    115   132
179   2372  75    3     101   104
180   2283  57    14    109   123
182   2301  61    17    104   121
184   2326  66    13    105   118
185   2131  27    7     151   158
